date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:23	25500/25500	---M--	200	added ('OK')	font/woff	etag:%22639c-612a949ab03ce%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/iconic.woff?i072xj	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/iconic03c2.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/iconic.css?ver=1.0.8)
09:44:23	66024/66024	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22101e8-612a949aaffe6%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/iconic.svg?i072xj	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/iconic03c2.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/iconic.css?ver=1.0.8)
09:44:24	112650/112650	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b80a-612a949ab07b6%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ionicons.eot?v=4.5.10-1	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ioniconsde33.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/ionicons.min.css?ver=1.0.8)
09:44:24	50556/50556	---M--	200	added ('OK')	font/woff2	etag:%22c57c-612a949ab1756%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ionicons.woff2?v=4.5.10-1	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ioniconsde33.woff2	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/ionicons.min.css?ver=1.0.8)
09:44:24	65908/65908	---M--	200	added ('OK')	font/woff	etag:%2210174-612a949ab1756%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ionicons.woff?v=4.5.10-1	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ioniconsde33.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/ionicons.min.css?ver=1.0.8)
09:44:24	112472/112472	---M--	200	added ('OK')	font/ttf	etag:%221b758-612a949ab136e%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ionicons.ttf?v=4.5.10-1	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ioniconsde33.ttf	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/ionicons.min.css?ver=1.0.8)
09:44:25	312749/312749	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c5ad-612a949ab0f86%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ionicons.svg?v=4.5.10-1	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/ioniconsde33.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/ionicons.min.css?ver=1.0.8)
09:44:25	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22da0c-612a949ab78fe%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free.eot?w118d	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free54e9.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/linearicons.css?ver=1.0.8)
09:44:25	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22da0c-612a949ab78fe%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free.eot?	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Freed41d.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/linearicons.css?ver=1.0.8)
09:44:25	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%225514-612a949ab84b6%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free.woff2?w118d	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free54e9.woff2	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/linearicons.css?ver=1.0.8)
09:44:25	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22d990-612a949ab80ce%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free.woff?w118d	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free54e9.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/linearicons.css?ver=1.0.8)
09:44:26	55620/55620	---M--	200	added ('OK')	font/ttf	etag:%22d944-612a949ab80ce%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free.ttf?w118d	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free54e9.ttf	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/linearicons.css?ver=1.0.8)
